cuisine	precision	recall	f1-score	support
brazilian	0.63	0.50	0.56	101
british	0.49	0.35	0.40	153
cajun_creole	0.47	0.69	0.56	291
chinese	0.64	0.82	0.72	534
filipino	0.61	0.44	0.51	129
french	0.58	0.53	0.55	543
greek	0.69	0.52	0.59	236
indian	0.83	0.84	0.84	604
irish	0.45	0.32	0.38	122
italian	0.72	0.87	0.79	1582
jamaican	0.64	0.44	0.52	106
japanese	0.84	0.51	0.64	277
korean	0.71	0.50	0.59	162
mexican	0.87	0.88	0.88	1303
moroccan	0.79	0.73	0.76	168
russian	0.55	0.20	0.29	85
southern_us	0.65	0.66	0.65	881
spanish	0.67	0.32	0.44	198
thai	0.71	0.70	0.71	323
vietnamese	0.70	0.45	0.55	157
accuracy	NaN	NaN	0.71	7955
macro_avg	0.66	0.56	0.60	7955
weighted_avg	0.71	0.71	0.70	7955
